acc	d_words	char_id	label	playName	round
0.875	morning	33480	Menenius	coriolanus	14
0.875	accused	33480	Menenius	coriolanus	15
0.875	bids	33480	Menenius	coriolanus	16
0.875	brand	33480	Menenius	coriolanus	17
0.875	belly	33480	Menenius	coriolanus	18
0.625	you	33480	Menenius	coriolanus	19
0.625	beards	33480	Menenius	coriolanus	20
0.625	clubs	33480	Menenius	coriolanus	21
0.625	controversy	33480	Menenius	coriolanus	22
0.625	loss	33480	Menenius	coriolanus	23
0.625	veins	33480	Menenius	coriolanus	24
0.625	bats	33480	Menenius	coriolanus	25
0.625	clusters	33480	Menenius	coriolanus	26
0.625	grub	33480	Menenius	coriolanus	27
0.625	quench	33480	Menenius	coriolanus	28
0.625	suffering	33480	Menenius	coriolanus	29
0.625	could	33480	Menenius	coriolanus	30
0.625	patience	33480	Menenius	coriolanus	31
1	NA	33481	Martius Coriolanus	coriolanus	1
1	me	33481	Martius Coriolanus	coriolanus	2
1	my	33481	Martius Coriolanus	coriolanus	3
1	i	33481	Martius Coriolanus	coriolanus	4
1	change	33481	Martius Coriolanus	coriolanus	5
1	service	33481	Martius Coriolanus	coriolanus	6
1	witness	33481	Martius Coriolanus	coriolanus	7
1	sweat	33481	Martius Coriolanus	coriolanus	8
1	let	33481	Martius Coriolanus	coriolanus	9
1	seal	33481	Martius Coriolanus	coriolanus	10
1	dust	33481	Martius Coriolanus	coriolanus	11
1	ope	33481	Martius Coriolanus	coriolanus	12
1	mother	33481	Martius Coriolanus	coriolanus	13
1	they	33481	Martius Coriolanus	coriolanus	14
1	hang	33481	Martius Coriolanus	coriolanus	15
1	aufidius	33481	Martius Coriolanus	coriolanus	16
1	greece	33481	Martius Coriolanus	coriolanus	17
1	garments	33481	Martius Coriolanus	coriolanus	18
1	practice	33481	Martius Coriolanus	coriolanus	19
1	shields	33481	Martius Coriolanus	coriolanus	20
1	wisdom	33481	Martius Coriolanus	coriolanus	21
1	cracked	33481	Martius Coriolanus	coriolanus	22
1	forsworn	33481	Martius Coriolanus	coriolanus	23
1	outward	33481	Martius Coriolanus	coriolanus	24
1	suffered	33481	Martius Coriolanus	coriolanus	25
1	honored	33481	Martius Coriolanus	coriolanus	26
1	sweet	33481	Martius Coriolanus	coriolanus	27
1	hours	33481	Martius Coriolanus	coriolanus	28
1	courage	33481	Martius Coriolanus	coriolanus	29
1	false	33481	Martius Coriolanus	coriolanus	30
1	womans	33481	Martius Coriolanus	coriolanus	31
